,TAXYEAR,PARCEL,SFRCONDO,COMPLEXID,INSPECTION,CLASS,STORIES,ROOMS,QUALITY,WALLS,ROOF,HEAT,COOL,BATHFIXTUR,PATIO,PATIONUMBE,CONDITION,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,VALUATIONC,APPLICATION,ENHANCEMEN,ADJUSTMENT,APPRAISER,PHONE
3675,2020,10312018D,S,9999,Jun 18 2013 12:00AM,1,1,3,1,0,1,6,1,3,9,0,1,479,1972,9,0,0,164237,164237,139601,20130618,00,0125,0,1,Michael V.,724-7421
3676,2020,104031760,S,9999,Dec 18 2013 12:00AM,1,1,3,1,2,7,9,1,3,3,1,2,430,1962,9,0,0,54844,72154,55559,20131219,00,0125,0,1,Michael V.,724-7421
3677,2020,10407022C,S,9999,Nov 20 2017 12:00AM,1,1,6,1,3,7,9,1,3,3,1,1,1145,1949,9,0,0,63571,63571,48950,20171121,00,0125,0,1,Michael V.,724-7421
3678,2020,104101260,S,9999,Jul  1 2007 12:00AM,1,1,2,1,0,7,8,1,3,9,0,2,485,1962,9,0,0,44252,51272,39479,20070822,00,0125,0,1,Michael V.,724-7421
3679,2020,10411015A,S,9999,Jun  9 2016 12:00AM,1,1,4,2,0,7,1,1,3,9,0,2,977,1958,9,0,0,66255,66255,41078,20160613,00,0125,0,1,Michael V.,724-7421
3680,2020,10411051A,S,9999,Jun  1 1984 12:00AM,1,1,7,2,0,6,4,1,3,3,1,2,924,1956,1,3,0,84841,84841,65328,19841119,00,0125,0,1,Michael V.,724-7421
3681,2020,10504018D,S,9999,Jun  1 2010 12:00AM,1,1,3,3,4,4,1,1,3,9,0,3,626,1954,9,0,0,97040,97040,97040,20100715,00,0125,0,1,Michael V.,724-7421
3682,2020,10510047G,S,9999,Aug 19 2015 12:00AM,1,1,4,2,0,3,1,1,6,9,0,2,937,1957,9,0,0,94230,94230,81038,20160526,00,0125,0,1,Michael V.,724-7421
3683,2020,10510056B,S,9999,Apr  1 1976 12:00AM,1,1,6,1,0,7,6,1,6,9,0,1,1668,1953,9,0,0,89217,89217,76727,19760528,00,0125,0,1,Michael V.,724-7421
3684,2020,105100640,S,9999,Jul  1 2010 12:00AM,1,1,4,1,0,6,1,1,5,3,1,1,1240,1948,1,2,0,101302,101302,87120,20100826,00,0125,0,1,Michael V.,724-7421
3685,2020,10512058b,S,9999,Jul  1 1984 12:00AM,1,1,8,1,0,7,8,2,6,3,3,1,1270,1935,3,1,0,82329,82329,70803,19841119,00,0125,0,1,Michael V.,724-7421
3686,2020,105120690,S,9999,Jun  1 1981 12:00AM,1,1,5,1,0,1,6,1,3,9,0,1,876,1948,1,2,0,73202,73202,62954,19811006,00,0125,0,1,Michael V.,724-7421
3687,2020,105120720,S,9999,Nov  1 1981 12:00AM,1,1,6,1,2,7,8,1,3,3,2,1,855,1954,9,0,0,69036,69036,59371,19811123,00,0125,0,1,Michael V.,724-7421
3688,2020,10513009A,S,9999,Jul  1 2000 12:00AM,1,1,7,1,0,7,8,2,3,3,1,1,2322,1960,9,0,0,104316,104316,89712,20031010,00,0125,0,1,Michael V.,724-7421
3689,2020,106020180,S,9999,Nov  5 2012 12:00AM,1,1,6,1,3,7,8,2,3,9,0,1,1762,1932,9,0,0,87882,87882,64681,20121113,00,0125,0,1,Michael V.,724-7421
3690,2020,106020290,S,9999,Sep 18 2015 12:00AM,1,1,5,1,2,7,1,0,6,9,0,1,1072,1950,3,2,0,78024,78024,57426,20150922,00,0125,0,1,Michael V.,724-7421
3691,2020,10602108B,S,9999,Jun  1 1965 12:00AM,1,1,3,1,3,7,8,1,4,9,0,1,625,1949,3,1,0,46019,46019,33870,19760528,00,0125,0,1,Michael V.,724-7421
3692,2020,10602108C,S,9999,Jun  1 1965 12:00AM,1,1,3,1,3,7,8,1,3,9,0,1,625,1949,9,0,0,45930,45930,33804,19900817,00,0125,0,1,Michael V.,724-7421
3693,2020,106021900,S,9999,Jun  1 1965 12:00AM,1,1,4,1,2,7,8,1,3,3,1,1,811,1953,3,1,0,59796,59796,44010,20070207,00,0125,0,1,Michael V.,724-7421
3694,2020,106022190,S,9999,Jun  1 1986 12:00AM,1,1,5,1,0,7,8,2,3,3,2,1,665,1954,3,1,0,55415,55415,40785,20070207,00,0125,0,1,Michael V.,724-7421
3695,2020,106040380,S,9999,Apr  1 1981 12:00AM,1,1,4,1,0,7,8,1,3,9,0,1,761,1934,9,0,0,53399,53399,39302,20070207,00,0125,0,1,Michael V.,724-7421
3696,2020,106041810,S,9999,Apr 29 2013 12:00AM,1,1,4,1,0,7,6,1,3,3,1,1,511,1949,9,0,0,42868,42868,31551,20130429,00,0125,0,1,Michael V.,724-7421
3697,2020,106042270,S,9999,Jun  1 1965 12:00AM,1,1,3,1,0,7,8,1,4,9,0,1,705,1955,9,0,0,47815,47815,35192,19760105,00,0125,0,1,Michael V.,724-7421
3698,2020,106050610,S,9999,Oct  1 1984 12:00AM,1,1,4,1,3,8,8,1,3,9,0,1,714,1943,9,0,0,54771,54771,33958,19841119,00,0125,0,1,Michael V.,724-7421
3699,2020,10605064A,S,9999,Oct  1 1984 12:00AM,1,1,3,1,2,7,8,2,3,3,1,1,784,1945,9,0,0,57280,57280,35514,20040823,00,0125,0,1,Michael V.,724-7421
3700,2020,10605067A,S,9999,Oct  1 1984 12:00AM,1,1,4,1,0,6,8,2,3,3,2,1,922,1928,9,0,0,69462,69462,43066,19841119,00,0125,0,1,Michael V.,724-7421
3701,2020,10605070A,S,9999,Jul  1 1983 12:00AM,1,1,3,1,3,6,8,2,3,9,0,1,460,1929,9,0,0,44726,44726,27730,19831104,00,0125,0,1,Michael V.,724-7421
3702,2020,106050710,S,9999,Feb  1 2007 12:00AM,1,1,4,2,3,6,8,2,3,3,2,1,665,1940,9,0,0,56370,56370,34949,20070822,00,0125,0,1,Michael V.,724-7421
3703,2020,106050760,S,9999,Oct  1 1984 12:00AM,1,1,4,1,2,7,8,2,3,9,0,1,722,1944,9,0,0,53613,53613,33240,19841119,00,0125,0,1,Michael V.,724-7421
3704,2020,10605107A,S,9999,Jan  1 2007 12:00AM,1,1,5,1,0,7,8,1,3,9,0,1,698,1934,9,0,0,70154,70154,43495,20070124,00,0125,0,1,Michael V.,724-7421
3705,2020,106051100,S,9999,Dec  1 1981 12:00AM,1,1,5,1,0,1,8,1,3,3,1,1,1097,1947,9,0,0,77977,77977,48346,20070213,00,0125,0,1,Michael V.,724-7421
3706,2020,106051200,S,9999,Dec 21 2018 12:00AM,1,1,4,1,0,7,8,2,3,9,0,1,877,1948,9,0,0,56000,70727,56000,20181227,OL,1227,0,1,Michael V.,724-7421
3707,2020,106051490,S,9999,Dec  1 1979 12:00AM,1,1,5,1,0,7,1,1,3,9,0,1,1392,1932,9,0,0,89620,89620,55564,19791206,00,0125,0,1,Michael V.,724-7421
3708,2020,106051580,S,9999,Jun  1 1965 12:00AM,1,1,4,1,3,7,8,1,3,3,2,1,676,1949,9,0,0,56854,56854,35249,19741119,00,0125,0,1,Michael V.,724-7421
3709,2020,106051620,S,9999,Jun  1 1965 12:00AM,1,1,4,1,3,1,6,1,3,3,1,1,804,1945,9,0,0,71696,71696,44452,19741221,00,0125,0,1,Michael V.,724-7421
3710,2020,10607084A,S,9999,Feb  1 2002 10:42AM,1,1,3,1,3,7,9,9,3,3,1,1,784,1944,9,0,0,52914,52914,35982,20010817,00,0125,0,1,Michael V.,724-7421
3711,2020,106120100,S,9999,Oct  1 1984 12:00AM,1,1,4,1,0,6,6,1,3,9,0,1,825,1959,9,0,0,56419,56419,38365,19841119,00,0125,0,1,Michael V.,724-7421
3712,2020,106120110,S,9999,Oct  1 1984 12:00AM,1,1,3,1,0,7,6,2,3,9,0,1,510,1949,9,0,0,43656,43656,29686,19841119,00,0125,0,1,Michael V.,724-7421
3713,2020,106120200,S,9999,Oct  1 1984 12:00AM,1,1,4,1,0,7,6,1,3,9,0,1,792,1956,9,0,0,41646,41646,28319,19841119,00,0125,0,1,Michael V.,724-7421
3714,2020,106120220,S,9999,Oct  1 1984 12:00AM,1,1,3,1,2,7,6,1,3,9,0,1,625,1958,1,2,0,44233,44233,30078,19841119,00,0125,0,1,Michael V.,724-7421
3715,2020,106120250,S,9999,Oct  1 1984 12:00AM,1,1,4,1,0,7,6,2,3,9,0,1,840,1961,9,0,0,51634,51634,35111,19841119,00,0125,0,1,Michael V.,724-7421
3716,2020,106120270,S,9999,Jan  1 2005 12:00AM,1,1,3,1,0,7,6,1,3,9,0,1,720,1959,9,0,0,63962,63962,43494,20050111,00,0125,0,1,Michael V.,724-7421
3717,2020,10612047A,S,9999,Oct  1 1984 12:00AM,1,1,3,1,0,7,8,2,3,3,1,1,560,1951,9,0,0,41574,41574,28270,19841119,00,0125,0,1,Michael V.,724-7421
3718,2020,10612087B,S,9999,Oct  1 1984 12:00AM,1,1,4,1,2,7,8,2,3,9,0,2,672,1958,9,0,0,49136,49136,33412,19860707,00,0125,0,1,Michael V.,724-7421
3719,2020,106121280,S,9999,Jan  1 1966 12:00AM,1,1,4,1,3,0,8,2,3,3,1,1,748,1914,1,1,0,79888,79888,54324,19730417,00,0125,0,1,Michael V.,724-7421
3720,2020,107110070,S,9999,Aug  1 1993 12:00AM,1,1,6,1,2,7,6,1,3,3,1,1,1299,1942,3,1,0,98391,98391,69661,19930830,00,0125,0,1,Michael V.,724-7421
3721,2020,107110180,S,9999,Jan 17 2019 12:00AM,1,1,4,1,0,6,8,1,3,9,0,1,1120,1941,9,0,0,204800,221253,204800,20190117,OL,0117,0,1,Michael V.,724-7421
3722,2020,107111340,S,9999,Jun  1 1965 12:00AM,1,1,3,1,3,7,8,1,3,9,0,1,540,1925,9,0,0,45275,45275,32055,20100217,00,0125,0,1,Michael V.,724-7421
3723,2020,107111730,S,9999,Oct 31 2012 12:00AM,1,1,6,1,3,7,8,1,3,3,1,1,847,1950,3,1,0,59999,59999,42479,20121031,00,0125,0,1,Michael V.,724-7421
3724,2020,10711228A,S,9999,Jul  1 1985 12:00AM,1,1,6,1,3,7,8,2,3,9,0,1,1120,1949,9,0,0,61484,61484,43531,19851030,00,0125,0,1,Michael V.,724-7421
3725,2020,107112950,S,9999,May  1 1981 12:00AM,1,1,2,1,0,7,8,1,3,9,0,1,488,1935,9,0,0,46322,46322,32796,19811006,00,0125,0,1,Michael V.,724-7421
3726,2020,10712044B,S,9999,Feb 18 2014 12:00AM,1,1,4,2,3,1,8,2,4,3,1,2,869,1951,3,1,0,60568,60568,42882,20140220,00,0125,0,1,Michael V.,724-7421
3727,2020,10712092B,S,9999,Oct  1 1965 12:00AM,1,1,6,1,0,7,8,2,3,9,0,1,911,1952,9,0,0,61218,61218,43342,20070207,00,0125,0,1,Michael V.,724-7421
3728,2020,107121390,S,9999,May  1 1997 12:00AM,1,1,1,1,3,7,8,2,3,9,0,1,319,1948,9,0,0,33530,33530,23739,20070207,00,0125,0,1,Michael V.,724-7421
3729,2020,107122450,S,9999,Jan  1 1987 12:00AM,1,1,6,2,2,1,8,1,3,9,0,2,1066,1948,9,0,0,69150,69150,48958,19870620,00,0125,0,1,Michael V.,724-7421
3730,2020,107122690,S,9999,Sep 16 2011 12:00AM,1,1,5,1,3,7,1,0,3,3,1,2,1048,1947,3,1,0,74588,74588,52808,20110916,00,0125,0,1,Michael V.,724-7421
3731,2020,107122860,S,9999,Oct 13 2017 12:00AM,1,1,3,1,0,7,6,1,3,3,1,1,570,1947,9,0,0,71901,71901,50906,20171016,00,0125,0,1,Michael V.,724-7421
3732,2020,107130260,S,9999,Aug  1 1993 12:00AM,1,1,3,2,3,1,6,1,3,3,1,2,616,1965,9,0,0,56261,56261,39833,20070207,00,0125,0,1,Michael V.,724-7421
3733,2020,107130580,S,9999,Jun  1 1965 12:00AM,1,1,3,1,0,7,8,1,3,3,1,2,490,1948,9,0,0,45140,45140,31959,20070207,00,0125,0,1,Michael V.,724-7421
3734,2020,107131940,S,9999,Dec  8 2011 12:00AM,1,1,5,1,0,1,8,1,3,9,0,1,628,1945,9,0,0,48248,48248,34160,20111212,00,0125,0,1,Michael V.,724-7421
3735,2020,107131960,S,9999,Jun  1 1965 12:00AM,1,1,4,1,0,6,8,2,3,3,1,1,552,1940,9,0,0,46185,46185,32699,20070207,00,0125,0,1,Michael V.,724-7421
3736,2020,107132240,S,9999,Jun  1 1965 12:00AM,1,1,4,1,0,1,8,1,3,9,0,2,637,1928,1,1,0,52786,52786,37372,19790201,00,0125,0,1,Michael V.,724-7421
3737,2020,107132390,S,9999,Jan  1 1987 12:00AM,1,1,3,1,0,7,6,0,3,9,0,2,686,1948,3,1,0,54439,54439,38543,19870620,00,0125,0,1,Michael V.,724-7421
3738,2020,107132400,S,9999,Apr  1 1981 12:00AM,1,1,3,1,3,7,6,1,3,9,0,2,480,1950,3,1,0,46328,46328,32800,20100726,00,0125,0,1,Michael V.,724-7421
3739,2020,10713243A,S,9999,Jun  1 1965 12:00AM,1,1,5,1,0,7,8,1,3,3,1,2,687,1929,9,0,0,51791,51791,36668,19730417,00,0125,0,1,Michael V.,724-7421
3740,2020,10714019A,S,9999,Oct  1 2009 12:00AM,1,1,7,1,4,7,8,1,3,3,1,1,1142,1960,9,0,0,65616,65616,46456,20091023,00,0125,0,1,Michael V.,724-7421
3741,2020,107140490,S,9999,Jun  1 1965 12:00AM,1,1,5,1,0,7,1,1,3,3,2,1,800,1943,9,0,0,58020,58020,41078,19760827,00,0125,0,1,Michael V.,724-7421
3742,2020,107140800,S,9999,Jan  1 1987 12:00AM,1,1,4,1,0,3,8,1,3,3,1,1,716,1945,9,0,0,58363,58363,41321,20070207,00,0125,0,1,Michael V.,724-7421
3743,2020,107140810,S,9999,May  1 1981 12:00AM,1,1,5,2,0,7,8,1,3,3,1,1,887,1943,9,0,0,62395,62395,44176,19920518,00,0125,0,1,Michael V.,724-7421
3744,2020,107141420,S,9999,Jan 28 2015 12:00AM,1,1,4,1,3,7,8,1,3,9,0,1,1042,1944,3,1,0,64257,64257,45494,20150128,00,0125,0,1,Michael V.,724-7421
3745,2020,10714149A,S,9999,Jan 28 2015 12:00AM,1,1,5,1,0,3,8,1,3,3,2,1,898,1944,9,0,0,57078,57078,40411,20150128,00,0125,0,1,Michael V.,724-7421
3746,2020,107142300,S,9999,Jan  1 1966 12:00AM,1,1,4,1,0,7,8,2,3,3,1,1,800,1932,1,1,0,58163,58163,41179,19891103,00,0125,0,1,Michael V.,724-7421
3747,2020,107142720,S,9999,Dec 11 2012 12:00AM,1,1,5,1,7,2,1,1,3,3,2,1,2595,1942,9,0,0,125904,125904,89140,20121212,00,0125,0,1,Michael V.,724-7421
3748,2020,107150100,S,9999,Oct 24 2018 12:00AM,1,1,5,1,2,7,1,0,3,9,0,1,1273,1950,9,0,0,71049,71049,50303,20181101,00,0125,0,1,Michael V.,724-7421
3749,2020,107150850,S,9999,Jan  1 1987 12:00AM,1,1,3,1,2,7,6,1,3,9,0,1,495,1954,9,0,0,37743,37743,26722,20070207,00,0125,0,1,Michael V.,724-7421
3750,2020,107151100,S,9999,Apr  1 1981 12:00AM,1,1,6,1,2,7,8,1,3,9,0,1,1011,1950,9,0,0,60196,60196,42619,19811006,00,0125,0,1,Michael V.,724-7421
3751,2020,107151440,S,9999,Sep  1 2007 12:00AM,1,1,6,1,2,7,8,2,3,3,2,1,1156,1948,3,2,0,71979,71979,50961,20071228,00,0125,0,1,Michael V.,724-7421
3752,2020,110060670,S,9999,Sep 27 2010 12:00AM,1,1,5,1,7,7,9,9,3,9,0,1,1378,1956,9,0,0,59332,59332,53399,20101129,00,0125,0,0.8,Sonya T.,724-4394
3753,2020,110061030,S,9999,Jul  1 1969 12:00AM,1,1,2,1,0,6,8,2,3,9,0,1,315,1953,3,3,0,47841,47841,43057,19821109,00,0125,0,1,Sonya T.,724-4394
3754,2020,110061180,S,9999,Jul  1 1965 12:00AM,1,1,3,1,3,7,8,1,3,9,0,1,520,1952,3,1,0,49109,49109,44198,19721028,00,0125,0,1,Sonya T.,724-4394
3755,2020,110061240,S,9999,Jul  1 1965 12:00AM,1,1,4,1,0,2,6,1,3,3,2,1,789,1952,9,0,0,58153,58153,52338,19920922,00,0125,0,1,Sonya T.,724-4394
3756,2020,110070590,S,9999,Sep  1 1993 12:00AM,1,1,5,1,3,7,6,1,3,9,0,1,1189,1954,1,1,0,70178,70178,63160,19930903,00,0125,0,1,Sonya T.,724-4394
3757,2020,110071140,S,9999,May  1 1980 12:00AM,1,1,6,1,3,7,6,2,5,3,2,1,1179,1945,9,0,0,74490,74490,67041,19800603,00,0125,0,1,Sonya T.,724-4394
3758,2020,11007147D,S,9999,Sep  1 1993 12:00AM,1,1,2,2,3,1,8,1,4,3,1,2,570,1940,9,0,0,30556,30556,27500,19930927,00,0125,0,1,Sonya T.,724-4394
3759,2020,110071730,S,9999,Aug  1 2006 12:00AM,1,1,5,2,0,7,1,0,3,9,0,1,844,1972,9,0,0,63501,63501,57151,20100726,00,0125,0,1,Sonya T.,724-4394
3760,2020,110072900,S,9999,May  1 1965 12:00AM,1,1,5,1,3,1,6,1,3,3,2,2,782,1948,3,1,0,67180,67180,60462,19750527,00,0125,0,1,Sonya T.,724-4394
3761,2020,110072920,S,9999,Sep  1 1976 12:00AM,1,1,5,1,2,1,6,2,3,3,2,1,932,1957,9,0,0,67646,67646,60881,19920806,00,0125,0,1,Sonya T.,724-4394
3762,2020,11009010A,S,9999,Sep  1 1983 12:00AM,1,1,2,1,7,7,8,1,3,9,0,1,852,1964,9,0,0,235844,235844,247636,20070207,00,0125,0,1,Sonya T.,724-4394
3763,2020,110090110,S,9999,Jun  1 1965 12:00AM,1,1,6,1,7,7,8,1,3,9,0,1,1220,1932,9,0,0,109698,109698,115183,20070207,00,0125,0,1,Sonya T.,724-4394
3764,2020,11009012B,S,9999,Sep  1 1976 12:00AM,1,1,7,1,2,7,8,1,6,9,0,1,1680,1964,9,0,0,115554,115554,121332,20070207,00,0125,0,1,Sonya T.,724-4394
3765,2020,110090140,S,9999,Jul  1 1969 12:00AM,1,1,5,1,2,7,8,1,3,3,1,1,1012,1959,3,2,0,94956,94956,99704,20100727,00,0125,0,1,Sonya T.,724-4394
3766,2020,110090160,S,9999,Jul  1 1985 12:00AM,1,1,5,1,7,7,8,2,3,3,1,1,1074,1925,9,0,0,105667,105667,110950,20070207,00,0125,0,1,Sonya T.,724-4394
3767,2020,11009039B,S,9999,Jun  1 2005 12:00AM,1,1,4,2,7,3,8,1,3,9,0,1,888,1941,9,0,0,93051,93051,97704,20070207,00,0125,0,1,Sonya T.,724-4394
3768,2020,110090400,S,9999,Jun  1 1965 12:00AM,1,1,5,1,7,7,8,1,3,9,0,1,678,1948,9,0,0,80439,80439,84461,20070207,00,0125,0,1,Sonya T.,724-4394
3769,2020,11009049G,S,9999,Aug  1 2001 12:00AM,1,1,3,1,7,7,6,1,3,9,0,1,1473,1924,9,0,0,137590,137590,144470,20080201,00,0125,0,1,Sonya T.,724-4394
3770,2020,11009056A,S,9999,Jul  1 1985 12:00AM,1,1,6,1,7,7,6,1,7,3,1,1,1156,1949,3,1,0,118445,118445,124367,20070207,00,0125,0,1,Sonya T.,724-4394
3771,2020,110090720,S,9999,Jun  1 1970 12:00AM,1,1,5,1,3,7,8,1,3,9,0,1,1105,1953,9,0,0,105689,105689,110973,20070207,00,0125,0,1,Sonya T.,724-4394
3772,2020,111010200,S,9999,Jul  1 1985 12:00AM,1,1,5,1,3,4,8,1,3,9,0,1,758,1937,9,0,0,152417,152417,152417,20060130,00,0125,0,1,Sonya T.,724-4394
3773,2020,111020040,S,9999,Jul  1 1985 12:00AM,1,1,3,1,3,7,8,2,3,9,0,1,542,1941,1,1,0,84233,84233,84233,20060130,00,0125,0,1,Sonya T.,724-4394
3774,2020,111030570,S,9999,Oct 31 2012 12:00AM,1,1,5,3,0,1,1,0,3,3,4,1,1050,1950,3,1,0,152466,152466,152466,20121101,00,0125,28813,1,Sonya T.,724-4394
3775,2020,11104079A,S,9999,Jun  1 1965 12:00AM,1,1,2,1,2,6,8,1,3,9,0,1,732,1948,1,1,0,53568,53568,53568,19741010,00,0125,0,1,Sonya T.,724-4394
3776,2020,111040800,S,9999,Dec 26 2018 12:00AM,1,1,4,1,2,7,9,9,3,9,0,1,722,1954,9,0,0,42500,47470,42500,20181227,OL,1227,0,1,Sonya T.,724-4394
3777,2020,11104093A,S,9999,Oct  1 1979 12:00AM,1,1,4,1,3,7,8,2,3,9,0,1,976,1951,9,0,0,87214,87214,87214,19840521,00,0125,0,1,Sonya T.,724-4394
3778,2020,111041590,S,9999,May  1 1965 12:00AM,1,1,4,1,3,7,8,2,3,3,1,1,628,1951,9,0,0,55328,55328,55328,20100727,00,0125,0,1,Sonya T.,724-4394
3779,2020,11105106A,S,9999,May  1 1965 12:00AM,1,1,5,1,0,1,8,1,3,3,1,1,820,1948,9,0,0,53910,53910,53910,19730628,00,0125,0,1,Sonya T.,724-4394
3780,2020,111051070,S,9999,Dec  1 2000 12:00AM,1,1,4,1,3,2,1,2,3,3,1,1,642,1947,9,0,0,48758,48758,48758,20010108,00,0125,0,1,Sonya T.,724-4394
3781,2020,111051080,S,9999,Dec 18 2013 12:00AM,1,1,3,1,0,1,8,2,3,9,0,1,480,1950,9,0,0,41314,41314,41314,20131219,00,0125,0,1,Sonya T.,724-4394
3782,2020,111051620,S,9999,Nov  1 1995 12:00AM,1,1,6,1,0,7,6,1,3,9,0,1,1085,1965,9,0,0,59546,59546,59546,19951122,00,0125,0,1,Sonya T.,724-4394
3783,2020,111051720,S,9999,Dec  1 1990 12:00AM,1,1,5,1,3,7,1,1,3,9,0,1,882,1946,9,0,0,54888,54888,54888,19910322,00,0125,0,1,Sonya T.,724-4394
3784,2020,111051730,S,9999,Oct  1 2014 12:00AM,1,1,4,1,3,7,1,0,3,3,1,1,635,1946,9,0,0,82107,82107,82107,20141020,00,0125,0,1,Sonya T.,724-4394
3785,2020,111051990,S,9999,May  1 1965 12:00AM,1,1,4,1,3,7,6,1,3,3,1,1,728,1946,3,1,0,54218,54218,54218,19730417,00,0125,0,1,Sonya T.,724-4394
3786,2020,111052440,S,9999,Oct  1 1966 12:00AM,1,1,6,1,0,7,8,1,5,3,2,1,972,1946,9,0,0,76017,76017,76017,19880805,00,0125,0,1,Sonya T.,724-4394
3787,2020,11105252B,S,9999,May  1 1965 12:00AM,1,1,4,1,0,7,6,1,3,9,0,1,740,1948,9,0,0,49813,49813,49813,19910925,00,0125,0,1,Sonya T.,724-4394
3788,2020,111060020,S,9999,May  1 1965 12:00AM,1,1,3,1,0,7,8,1,3,3,1,1,479,1948,9,0,0,40348,40348,40348,19880805,00,0125,0,1,Sonya T.,724-4394
3789,2020,111060870,S,9999,Jan  1 1985 12:00AM,1,1,5,1,3,7,6,1,6,9,0,1,1132,1947,3,1,0,60609,60609,60609,19850110,00,0125,0,1,Sonya T.,724-4394
3790,2020,111060930,S,9999,May  1 1965 12:00AM,1,1,4,1,0,7,8,2,3,9,0,1,809,1932,9,0,0,63893,63893,63893,19760329,00,0125,0,1,Sonya T.,724-4394
3791,2020,111060970,S,9999,Jul  1 1994 12:00AM,1,1,3,1,0,7,1,1,3,9,0,1,438,1951,1,2,0,48986,48986,48986,19941018,00,0125,0,1,Sonya T.,724-4394
3792,2020,111062080,S,9999,Apr  1 1993 12:00AM,1,1,3,1,2,7,8,1,6,9,0,1,884,1953,3,2,0,59960,59960,59960,19930611,00,0125,0,1,Sonya T.,724-4394
3793,2020,11106245A,S,9999,May  1 1965 12:00AM,1,1,4,2,3,1,8,1,3,3,1,1,894,1947,3,1,0,70301,70301,70301,19730411,00,0125,0,1,Sonya T.,724-4394
3794,2020,11106332A,S,9999,Feb  1 2002 10:42AM,1,1,4,1,0,0,8,1,3,9,0,1,498,1951,9,0,0,42394,42394,42394,20010824,00,0125,0,1,Sonya T.,724-4394
3795,2020,11106341A,S,9999,Feb  1 2002 12:00AM,1,1,2,1,0,7,5,1,3,9,0,1,285,1935,9,0,0,50162,50162,50162,20070207,00,0125,0,1,Sonya T.,724-4394
3796,2020,111070150,S,9999,May  1 1965 12:00AM,1,1,2,1,0,7,6,1,3,3,1,2,432,1949,9,0,0,40430,40430,37600,19760827,00,0125,0,1,Sonya T.,724-4394
3797,2020,111071420,S,9999,May  1 1965 12:00AM,1,1,3,1,0,1,7,2,3,3,1,1,534,1949,9,0,0,47293,47293,43982,20100727,00,0125,0,1,Sonya T.,724-4394
3798,2020,111072540,S,9999,Jan  1 2007 12:00AM,1,1,3,1,0,7,4,1,3,9,0,1,368,1944,1,1,0,57539,57539,53511,20070126,00,0125,0,1,Sonya T.,724-4394
3799,2020,111073110,S,9999,May  1 1965 12:00AM,1,1,3,1,2,7,6,2,5,3,1,1,719,1950,9,0,0,52290,52290,48630,19721028,00,0125,0,1,Sonya T.,724-4394
3800,2020,111073190,S,9999,Feb  1 2009 12:00AM,1,1,4,1,1,1,1,0,3,3,2,1,761,1952,9,0,0,77078,77078,71683,20090722,00,0125,0,1,Sonya T.,724-4394
3801,2020,112010550,S,9999,Jul  1 1985 12:00AM,1,1,3,1,3,6,8,2,3,3,1,1,804,1932,9,0,0,55773,55773,55773,19890928,00,0125,0,1,Sonya T.,724-4394
3802,2020,112050060,S,9999,Jan 16 2019 12:00AM,1,1,6,2,7,7,8,1,3,3,2,1,1110,1950,3,2,0,119300,110880,119300,20190117,OL,0117,0,1,Sonya T.,724-4394
3803,2020,112050940,S,9999,Apr  1 1965 12:00AM,1,1,3,1,0,7,8,2,3,9,0,1,439,1941,9,0,0,47800,47800,46366,19760105,00,0125,0,1,Sonya T.,724-4394
3804,2020,112051150,S,9999,Apr  1 1965 12:00AM,1,1,4,1,0,6,0,2,3,3,1,1,622,1948,9,0,0,56064,56064,54382,19721028,00,0125,0,1,Sonya T.,724-4394
3805,2020,112051300,S,9999,Apr  1 1965 12:00AM,1,1,5,1,3,7,1,1,6,9,0,1,770,1946,3,2,0,62628,62628,60749,19930405,00,0125,0,1,Sonya T.,724-4394
3806,2020,112051320,S,9999,Oct  6 1981 12:00AM,1,1,6,1,0,7,8,1,3,9,0,1,1034,1945,9,0,0,60548,60548,58732,19811006,00,0125,0,1,Sonya T.,724-4394
3807,2020,113040970,S,9999,Jan  1 1753 12:00AM,1,1,4,1,3,7,8,1,3,9,0,1,811,1954,9,0,0,72012,72012,64811,20040203,00,0125,0,1,Michael V.,724-7421
3808,2020,11304103A,S,9999,Jul  1 1965 12:00AM,1,1,6,1,2,7,8,1,3,9,0,2,703,1946,9,0,0,50029,50029,45026,20070207,00,0125,0,1,Michael V.,724-7421
3809,2020,11304103B,S,9999,May  1 1998 12:00AM,1,1,4,1,2,7,1,1,4,3,1,2,657,1948,9,0,0,51078,51078,45970,19981014,00,0125,0,1,Michael V.,724-7421
3810,2020,11304108A,S,9999,Oct  1 1984 12:00AM,1,1,6,1,0,7,8,1,3,3,2,2,1370,1946,9,0,0,76820,76820,69138,19841119,00,0125,0,1,Michael V.,724-7421
3811,2020,113041210,S,9999,May  1 1965 12:00AM,1,1,6,2,2,7,8,1,3,9,0,2,952,1957,9,0,0,59844,59844,53860,19920922,00,0125,0,1,Michael V.,724-7421
3812,2020,113042410,S,9999,Nov  1 1987 12:00AM,1,1,2,1,2,7,8,2,4,3,1,1,352,1947,9,0,0,45328,45328,40795,20070207,00,0125,0,1,Michael V.,724-7421
3813,2020,113042550,S,9999,Aug  1 1978 12:00AM,1,1,4,1,7,1,6,1,3,9,0,1,1027,1937,9,0,0,67974,67974,61177,20070207,00,0125,0,1,Michael V.,724-7421
